,University Name,Website,Year Established,Fees,State,Region
0,"Wigwe University, Isiokpo Rivers State",https://www.wigweuniversity.edu.ng/fees/,2023,15083100.0,Rivers,South-South
1,"Skyline University, Kano",https://www.sun.edu.ng,2018,4585929.0,Kano,North-West
2,"American University of Nigeria, Yola",https://www.aun.edu.ng,2003,3866904.0,Adamawa,North-East
3,"Pan-Atlantic University, Lagos",https://www.pau.edu.ng,2002,3613017.0,Lagos,South-West
4,"Elrazi Medical University Yargaya University, Kano State",https://elrazi.edu.ng/fees/,2023,3103333.0,Kano,North-West
5,"PAMO University of Medical Sciences, Portharcourt",https://www.pums.edu.ng,2017,3000000.0,Rivers,South-South
6,"Nile University of Nigeria, Abuja",https://www.nileuniversity.edu.ng/,2009,2939535.0,FCT Abuja,North-Central
7,"Prime University, Kuje, FCT Abuja",https://primeuniversity.edu.ng/admission/,2023,2740000.0,FCT Abuja,North-Central
8,"Hensard University, Toru-Orua, Sagbama, Bayelsa State",https://hensarduniversity.edu.ng/fees,2023,2675000.0,Bayelsa,South-South
9,"El-Amin University, Minna, Niger State",https://www.el-aminuniversity.edu.ng/courses.php,2023,2621786.0,Niger,North-Central
10,"Nigerian British University, Asa, Abia State",https://nbunet.nbu.edu.ng/RRR/optionsOfPay,2022,2579333.0,Abia,South-East
11,"Nigerian University of Technology and Management, Apapa, Lagos State",https://nutmng.org/undergraduate-programs/,2023,2500000.0,Lagos,South-West
12,"Babcock University,Ilishan-Remo",https://www.babcock.edu.ng,1999,2494065.0,Ogun,South-West
13,"Topfaith University, Mkpatak, Akwa Ibom State",https://topfaith.edu.ng/pg/fees,2021,2346458.0,Akwa Ibom,South-South
14,Baze University,https://www.bazeuniversity.edu.ng,2011,2312500.0,FCT Abuja,North-Central
15,"Eko University of Medical and Health Sciences Ijanikin, Lagos",https://www.ekounivmed.edu.ng,2017,2225000.0,Lagos,South-West
16,"University of Offa, Kwara State",https://unioffa.edu.ng/,2021,2000000.0,Kwara,North-Central
17,"Margaret Lawrence University, Umunede, Delta State",https://mlugalilee.edu.ng/,2022,1680000.0,Delta,South-South
18,"Veritas University, Abuja",https://www.veritas.edu.ng,2007,1555716.0,FCT Abuja,North-Central
19,"Azman University, Kano State",https://www.azmanuniversity.edu.ng/fees,2023,1543350.0,Kano,North-West
20,"Philomath University, Kuje, Abuja",https://www.philomath.edu.ng/tuition-fee/,2021,1516000.0,FCT Abuja,North-Central
21,"African University of Science and Technology, Abuja",http://aust.edu.ng/,2007,1500000.0,FCT Abuja,North-Central
22,"Amadeus University, Amizi, Abia State",https://amadeus.edu.ng/tuition-fees-2/,2023,1489475.0,Abia,South-East
23,"Jewel University, Gombe state",https://jeweluniversity.edu.ng/fees-and-tuition/,2023,1360000.0,Gombe,North-East
24,"Hillside University of Science and Technology, Okemisi, Ekiti State",https://hust.edu.ng/,2023,1323161.0,Ekiti,South-West
25,"Afe Babalola University, Ado-Ekiti - Ekiti State",https://www.abuad.edu.ng,2009,1267500.0,Ekiti,South-West
26,"Adeleke University, Ede",https://www.adelekeuniversity.edu.ng,2011,1260070.0,Osun,South-West
27,"Maryam Abacha American University of Nigeria, Kano State",https://www.maaun.edu.ng/,2021,1259600.0,Kano,North-West
28,"British Canadian University, Obufu Cross River State",https://thebritishcanadianuniversity.com/undergradate-fees/,2023,1250000.0,Cross River,South-South
29,"Canadian University of Nigeria, Abuja",https://bcu.edu.ng/fees-tuition/,2023,1213300.0,FCT Abuja,North-Central
30,"Elizade University, Ilara-Mokin",https://www.elizadeuniversity.edu.ng,2012,1204000.0,Ondo,South-West
31,"Capital City University, Kano State",https://www.ccuk.edu.ng/,2021,1165200.0,Kano,North-West
32,"Khalifa Isiyaku Rabiu University, Kano",https://khairun.edu.ng/,2022,1137500.0,Kano,North-West
33,"North Eastern University, Gombe",https://pru.edu.ng/,2022,1115000.0,Gombe,North-East
34,"Bells University of Technology, Otta",https://www.bellsuniversity.edu.ng/,2005,1106545.0,Ogun,South-West
35,Covenant University Ota,https://www.covenantuniversity.edu.ng/,2002,1099150.0,Ogun,South-West
36,"Bowen University, Iwo",https://www.bowen.edu.ng,2001,1074719.0,Osun,South-West
37,Augustine University,https://www.augustineuniversity.edu.ng/,2015,1074432.0,Lagos,South-West
38,"Rayhaan University, Kebbi",https://rayhaanuniv.edu.ng/pay-my-tuition/,2023,1068888.0,Kebbi,North-West
39,Christopher University Mowe,https://www.christopheruniversity.edu.ng/,2015,1050000.0,Ogun,South-West
40,"Wellspring University, Evbuobanosa - Edo State",https://www.wellspringuniversity.net,2009,1033714.0,Edo,South-South
41,"Caleb University, Lagos",https://www.calebuniversity.edu.ng,2007,1019000.0,Lagos,South-West
42,"Joseph Ayo Babalola University, Ikeji-Arakeji",https://www.jabu.edu.ng,2006,1004750.0,Osun,South-West
43,Chrisland University,https://www.chrislanduniversity.edu.ng,2015,962500.0,Ogun,South-West
44,"Al-Ansar University, Maiduguri, Borno",https://aum.edu.ng/fees/tuition,2022,907137.0,Borno,North-East
45,"Achievers University, Owo",https://www.achievers.edu.ng,2007,900000.0,Ondo,South-West
46,Crescent University,https://www.crescent-university.edu.ng,2005,887214.0,Ogun,South-West
47,Igbinedion University Okada,https://www.iuokada.edu.ng,1999,878607.0,Edo,South-South
48,"Venite University, Iloro-Ekiti, Ekiti State",https://veniteuniversity.edu.ng/,2023,873846.0,Ekiti,South-West
49,"Kings University, Ode Omu",https://www.kingsuniversity.edu.ng/,2015,873666.0,Osun,South-West
50,Clifford University Owerrinta Abia State,https://www.clifforduni.edu.ng/,2016,863000.0,Abia,South-East
51,"Kola Daisi University Ibadan, Oyo State",https://www.koladaisiuniversity.edu.ng/,2016,850000.0,Oyo,South-West
52,"Aletheia University, Ago-Iwoye Ogun State",https://portal.aletheiauniversity.edu.ng/prospectStudent/register/,2023,850000.0,Ogun,South-West
53,"Lead City University, Ibadan",https://www.lcu.edu.ng,2005,844595.0,Oyo,South-West
54,"Greenfield University, Kaduna",https://www.gfu.edu.ng,2019,838750.0,Kaduna,North-West
55,"Newgate University, MInna, Niger State.",https://newgateuniversityminna.edu.ng/,2022,822500.0,Niger,North-Central
56,"Bingham University, New Karu",https://www.binghamuni.edu.ng,2005,816591.0,Nasarawa,North-Central
57,"Benson Idahosa University, Benin City",https://www.biu.edu.ng/,2002,803400.0,Edo,South-South
58,"Ritman University, Ikot Ekpene, Akwa Ibom",https://www.ritmanuniversity.edu.ng,2015,800000.0,Akwa Ibom,South-South
59,Trinity University Ogun State,https://www.trinityuniversity.edu.ng/,2019,796707.0,Ogun,South-West
60,Dominican University Ibadan Oyo State,https://www.dui.edu.ng/,2016,793078.0,Oyo,South-West
61,"Renaissance University, Enugu",https://www.rnu.edu.ng,2005,925000.0,Enugu,South-East
62,"Thomas Adewumi University, Oko-Irese, Kwara State",https://www.tau.edu.ng/,2021,771522.0,Kwara,North-Central
63,"Al-Hikmah University, Ilorin",https://www.alhikmah.edu.ng,2005,742205.0,Kwara,North-Central
64,Arthur Javis University Akpoyubo Cross river State,https://www.arthurjarvisuniversity.edu.ng/,2016,735000.0,Cross River,South-South
65,"University on the Niger, Umunya, Anambra state",https://uniniger.edu.ng/index.php/fees/,2023,725950.0,Anambra,South-East
66,Mountain Top University,https://www.mtu.edu.ng,2015,710333.0,Ogun,South-West
67,"Gregory University, Uturu",https://gregoryuniversityuturu.edu.ng/,2012,710000.0,Abia,South-East
68,"Havilla University, Nde-Ikom, Cross River State",https://havillauniversity.edu.ng/,2021,704000.0,Cross River,South-South
69,"Phoenix University, Agwada, Nasarawa State",https://phoenixuniversity.edu.ng/course-search/,2023,685000.0,Nasarawa,North-Central
70,"Karl-Kumm University, Vom, Plateau State",https://kku.edu.ng/,2021,672500.0,Plateau,North-Central
71,"Ave Maria University, Piyanko, Nasarawa State",https://maranathauniversitylagos.edu.ng/school-fees/,2021,671312.0,Nasarawa,North-Central
72,"Saisa University of Medical Sciences and Technology, Sokoto State",https://admission.saisa.edu.ng/,2022,662500.0,Sokoto,North-West
73,"Hallmark University, Ijebi Itele, Ogun",https://hallmarkuniversity.edu.ng/,2015,650000.0,Ogun,South-West
74,NorthWest University Sokoto State,https://nwus.edu.ng/,2022,650000.0,Sokoto,North-West
75,"Lux Mundi University Umuahia, Abia State",https://luxmundi.edu.ng/fees/tuition,2023,650000.0,Abia,South-East
